participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415271506155
Dario Franceschini, 28, 24, 17, 19, 13, 17, 20, 23, 40, 63, 159, 251
Luca Sofri, 12, 8, 6, 6, 3, 3, 3, 12, 57, 79, 87, 108
Beppe Severgnini, 37, 33, 31, 35, 34, 29, 27, 24, 26, 24, 25, 27
Massimo Mantellini, 47, 40, 40, 37, 24, 17, 11, 9, 9, 7, 7, 8
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Aldo Cazzullo, 4, 6, 6, 6, 6, 11, 12, 12, 12, 6, 6, 6
Anna Masera, 9, 9, 13, 8, 6, 6, 6, 6, 6, 6, 6, 6
Massimiliano Panarari, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
Marino Sinibaldi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8
Daria Bignardi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
