participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415399306158
Luca Sofri, 23, 13, 20, 29, 35, 55, 59, 54, 52, 59, 45, 43
Anna Masera, 17, 10, 20, 29, 30, 39, 54, 45, 43, 54, 38, 33
Arianna Ciccone, 28, 13, 14, 23, 18, 27, 33, 28, 31, 36, 31, 30
Dario Franceschini, 14, 14, 16, 19, 21, 21, 14, 13, 23, 52, 55, 50
Beppe Severgnini, 18, 15, 23, 24, 21, 21, 19, 23, 23, 21, 15, 7
Massimiliano Panarari, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Andrea Iannuzzi, 32, 22, 19, 24, 19, 17, 14, 14, 8, 13, 12, 12
Daria Bignardi, 4, 4, 4, 4, 4, 16, 27, 27, 27, 29, 9, 9
Enrico Mentana, 11, 11, 11, 11, 11, 12, 15, 15, 15, 9, 11, 15
Samuele Bersani, 31, 19, 14, 7, 7, 7, 7, 7, 7, 7, 7, 7
