participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415228306154
Dario Franceschini, 38, 9, 28, 53, 57, 58, 52, 33, 33, 39, 33, 31
Massimo Mantellini, 9, 6, 7, 12, 17, 20, 24, 31, 38, 39, 41, 28
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Beppe Severgnini, 20, 25, 22, 21, 14, 9, 7, 7, 9, 16, 22, 21
Luca Sofri, 31, 32, 30, 17, 11, 8, 5, 3, 3, 3, 3, 3
Samuele Bersani, 10, 12, 9, 9, 7, 6, 6, 6, 9, 6, 8, 9
Pietrangelo Buttafuoco, 8, 17, 18, 18, 14, 7, 3, 3, 3, 1, 1, 1
Romana Petri, 4, 6, 6, 6, 9, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Anna Masera, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
