participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415275106168
Dario Franceschini, 13, 17, 20, 23, 40, 63, 159, 251, 321, 364, 354, 355
Luca Sofri, 3, 3, 3, 12, 57, 79, 87, 108, 163, 151, 199, 215
Beppe Severgnini, 34, 29, 27, 24, 26, 24, 25, 27, 39, 42, 46, 70
Massimo Mantellini, 24, 17, 11, 9, 9, 7, 7, 8, 14, 24, 53, 78
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Sonia Peronaci, 3, 3, 5, 8, 6, 9, 13, 14, 23, 30, 36, 35
Marino Sinibaldi, 6, 6, 6, 6, 6, 6, 6, 8, 12, 12, 12, 12
Aldo Cazzullo, 6, 11, 12, 12, 12, 6, 6, 6, 6, 6, 6, 6
Massimiliano Panarari, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
