participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415276006165
Dario Franceschini, 17, 20, 23, 40, 63, 159, 251, 321, 364, 354, 355, 323
Luca Sofri, 3, 3, 12, 57, 79, 87, 108, 163, 151, 199, 215, 159
Beppe Severgnini, 29, 27, 24, 26, 24, 25, 27, 39, 42, 46, 70, 56
Massimo Mantellini, 17, 11, 9, 9, 7, 7, 8, 14, 24, 53, 78, 71
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Sonia Peronaci, 3, 5, 8, 6, 9, 13, 14, 23, 30, 36, 35, 30
Marino Sinibaldi, 6, 6, 6, 6, 6, 6, 8, 12, 12, 12, 12, 12
Aldo Cazzullo, 11, 12, 12, 12, 6, 6, 6, 6, 6, 6, 6, 6
Massimiliano Panarari, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3
Pietrangelo Buttafuoco, 3, 4, 6, 9, 9, 6, 6, 6, 6, 6, 6, 6
