participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415384006156
Dario Franceschini, 36, 50, 44, 49, 86, 86, 88, 106, 82, 64, 54, 40
Luca Sofri, 12, 21, 24, 24, 21, 12, 15, 21, 22, 33, 32, 26
Massimo Mantellini, 5, 5, 5, 9, 18, 24, 30, 31, 26, 18, 21, 10
Beppe Severgnini, 11, 21, 24, 24, 20, 13, 8, 8, 10, 22, 18, 18
Andrea Iannuzzi, 9, 16, 24, 24, 18, 14, 14, 6, 6, 9, 15, 17
Sonia Peronaci, 12, 18, 17, 13, 9, 7, 9, 12, 12, 12, 12, 12
Anna Masera, 6, 8, 7, 6, 3, 3, 3, 12, 17, 21, 29, 29
Arianna Ciccone, 3, 3, 3, 3, 3, 3, 3, 6, 12, 19, 32, 38
Enrico Mentana, 3, 3, 3, 3, 3, 5, 11, 12, 12, 11, 11, 11
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
