participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415217506172
Dario Franceschini, 32, 33, 49, 52, 43, 44, 42, 45, 63, 83, 64, 53
Silvia Ballestra, 6, 6, 6, 6, 6, 6, 18, 42, 57, 57, 47, 21
Luca Sofri, 34, 33, 23, 8, 10, 9, 6, 13, 16, 12, 24, 33
Massimo Mantellini, 9, 11, 9, 9, 3, 3, 7, 21, 33, 36, 37, 24
Beppe Severgnini, 3, 3, 3, 3, 3, 3, 8, 22, 27, 32, 32, 26
Anna Masera, 26, 19, 17, 9, 9, 9, 9, 9, 10, 6, 5, 5
Sonia Peronaci, 15, 11, 11, 11, 11, 3, 3, 3, 3, 10, 10, 9
Aldo Cazzullo, 6, 6, 6, 6, 6, 6, 6, 6, 8, 9, 7, 6
Andrea Iannuzzi, 4, 6, 6, 6, 10, 8, 6, 6, 6, 6, 6, 6
Arianna Ciccone, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
