participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415288606284
Dario Franceschini, 262, 235, 272, 271, 275, 317, 322, 307, 272, 214, 154, 123
Luca Sofri, 28, 24, 40, 64, 75, 75, 65, 60, 53, 84, 149, 173
Beppe Severgnini, 31, 19, 27, 32, 58, 81, 88, 80, 68, 55, 38, 39
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Marino Sinibaldi, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Massimo Mantellini, 12, 7, 9, 6, 6, 4, 5, 12, 12, 23, 22, 20
Sonia Peronaci, 16, 14, 13, 13, 15, 14, 6, 8, 3, 3, 3, 3
Arianna Ciccone, 4, 3, 3, 6, 3, 3, 3, 11, 18, 18, 18, 13
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 9, 9, 9, 5
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
