participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415386706164
Dario Franceschini, 49, 86, 86, 88, 106, 82, 64, 54, 40, 34, 36, 34
Luca Sofri, 24, 21, 12, 15, 21, 22, 33, 32, 26, 26, 32, 29
Arianna Ciccone, 3, 3, 3, 3, 6, 12, 19, 32, 38, 40, 45, 48
Massimo Mantellini, 9, 18, 24, 30, 31, 26, 18, 21, 10, 10, 20, 35
Anna Masera, 6, 3, 3, 3, 12, 17, 21, 29, 29, 29, 32, 35
Andrea Iannuzzi, 24, 18, 14, 14, 6, 6, 9, 15, 17, 20, 25, 40
Beppe Severgnini, 24, 20, 13, 8, 8, 10, 22, 18, 18, 17, 17, 17
Sonia Peronaci, 13, 9, 7, 9, 12, 12, 12, 12, 12, 12, 12, 12
Enrico Mentana, 3, 3, 5, 11, 12, 12, 11, 11, 11, 11, 11, 11
Samuele Bersani, 5, 5, 2, 3, 3, 3, 3, 10, 12, 12, 14, 20
