participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415376806161
Dario Franceschini, 86, 108, 125, 155, 117, 75, 76, 41, 36, 50, 44, 49
Luca Sofri, 16, 15, 19, 41, 41, 42, 38, 22, 12, 21, 24, 24
Beppe Severgnini, 13, 11, 7, 15, 15, 17, 18, 9, 11, 21, 24, 24
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 9, 16, 24, 24
Massimo Mantellini, 13, 12, 10, 14, 13, 9, 12, 5, 5, 5, 5, 9
Romana Petri, 6, 6, 6, 6, 9, 12, 15, 15, 13, 7, 7, 7
Pietrangelo Buttafuoco, 15, 13, 7, 5, 3, 3, 7, 9, 6, 6, 4, 4
Sonia Peronaci, 6, 1, 1, 1, 1, 1, 1, 7, 12, 18, 17, 13
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
David Riondino, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
