participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415300306159
Dario Franceschini, 133, 123, 106, 81, 65, 74, 87, 101, 107, 118, 125, 105
Luca Sofri, 158, 94, 37, 25, 20, 53, 80, 115, 146, 137, 130, 104
Beppe Severgnini, 29, 28, 39, 38, 48, 67, 58, 57, 56, 45, 50, 41
Massimo Mantellini, 22, 18, 16, 12, 15, 31, 40, 49, 53, 50, 82, 107
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Arianna Ciccone, 21, 39, 38, 39, 34, 6, 11, 9, 11, 13, 17, 10
Sonia Peronaci, 2, 3, 3, 7, 17, 18, 18, 20, 21, 19, 22, 21
Marino Sinibaldi, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Anna Masera, 3, 3, 3, 1, 6, 11, 15, 15, 12, 11, 9, 13
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
