participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415536106161
Dario Franceschini, 53, 52, 59, 50, 54, 47, 32, 20, 19, 56, 70, 80
Massimo Mantellini, 39, 38, 52, 51, 50, 52, 36, 16, 21, 17, 12, 10
Beppe Severgnini, 6, 8, 19, 33, 43, 43, 43, 34, 28, 23, 11, 13
Luca Sofri, 20, 22, 22, 17, 12, 11, 13, 17, 15, 21, 17, 11
Anna Masera, 6, 6, 6, 7, 9, 12, 15, 25, 24, 27, 25, 12
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Samuele Bersani, 15, 14, 19, 21, 21, 17, 6, 6, 6, 6, 6, 6
Massimiliano Panarari, 2, 9, 12, 12, 11, 8, 8, 14, 18, 18, 18, 10
Enrico Mentana, 4, 4, 4, 4, 4, 4, 3, 9, 13, 17, 18, 14
Walter Passerini, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
