participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415241806150
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Dario Franceschini, 18, 17, 20, 18, 21, 27, 23, 19, 12, 4, 4, 4
Luca Sofri, 18, 20, 20, 11, 5, 2, 2, 2, 2, 2, 2, 2
Massimiliano Panarari, 9, 9, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Romana Petri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Sonia Peronaci, 12, 9, 5, 3, 3, 3, 3, 6, 6, 6, 6, 2
Anna Masera, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
Beppe Severgnini, 15, 11, 8, 2, 2, 2, 2, 2, 2, 2, 2, 2
Marino Sinibaldi, 12, 12, 8, 2, 2, 2, 2, 2, 2, 2, 2, 2
