participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415475806213
Dario Franceschini, 38, 36, 34, 19, 39, 54, 54, 54, 54, 36, 39, 43
Luca Sofri, 78, 66, 47, 40, 33, 38, 31, 29, 32, 35, 36, 34
Beppe Severgnini, 13, 17, 18, 21, 18, 9, 12, 9, 15, 58, 105, 140
Massimo Mantellini, 9, 19, 29, 39, 62, 69, 57, 58, 40, 21, 16, 9
Anna Masera, 29, 18, 9, 7, 11, 27, 35, 37, 34, 26, 19, 23
David Riondino, 11, 12, 20, 21, 21, 17, 17, 17, 17, 17, 17, 17
Francesco Piccolo, 13, 32, 30, 26, 24, 10, 10, 10, 10, 10, 10, 10
Andrea Iannuzzi, 18, 18, 18, 18, 18, 18, 18, 6, 11, 15, 9, 9
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Arianna Ciccone, 15, 15, 15, 15, 15, 15, 6, 6, 6, 6, 6, 6
