participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415258006136
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Beppe Severgnini, 2, 2, 2, 2, 2, 2, 2, 2, 2, 20, 27, 29
Luca Sofri, 2, 2, 2, 2, 7, 12, 12, 12, 9, 5, 9, 10
Massimiliano Panarari, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Dario Franceschini, 12, 4, 4, 4, 4, 4, 4, 2, 6, 8, 9, 11
Romana Petri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Anna Masera, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
Pietrangelo Buttafuoco, 1, 1, 1, 1, 2, 6, 6, 6, 6, 6, 6, 6
Sonia Peronaci, 6, 6, 6, 2, 2, 2, 1, 3, 3, 3, 3, 3
