participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415380406156
Dario Franceschini, 117, 75, 76, 41, 36, 50, 44, 49, 86, 86, 88, 106
Luca Sofri, 41, 42, 38, 22, 12, 21, 24, 24, 21, 12, 15, 21
Beppe Severgnini, 15, 17, 18, 9, 11, 21, 24, 24, 20, 13, 8, 8
Massimo Mantellini, 13, 9, 12, 5, 5, 5, 5, 9, 18, 24, 30, 31
Andrea Iannuzzi, 6, 6, 6, 6, 9, 16, 24, 24, 18, 14, 14, 6
Sonia Peronaci, 1, 1, 1, 7, 12, 18, 17, 13, 9, 7, 9, 12
Romana Petri, 9, 12, 15, 15, 13, 7, 7, 7, 7, 7, 3, 3
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
David Riondino, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Anna Masera, 3, 3, 6, 6, 6, 8, 7, 6, 3, 3, 3, 12
