participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415284106163
Dario Franceschini, 354, 355, 323, 294, 289, 262, 235, 272, 271, 275, 317, 322
Luca Sofri, 199, 215, 159, 120, 71, 28, 24, 40, 64, 75, 75, 65
Beppe Severgnini, 46, 70, 56, 48, 57, 31, 19, 27, 32, 58, 81, 88
Massimo Mantellini, 53, 78, 71, 63, 40, 12, 7, 9, 6, 6, 4, 5
Silvia Ballestra, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
Sonia Peronaci, 36, 35, 30, 28, 21, 16, 14, 13, 13, 15, 14, 6
Marino Sinibaldi, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Aldo Cazzullo, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
