participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415206706157
Dario Franceschini, 63, 39, 36, 30, 31, 49, 52, 46, 51, 40, 22, 25
Luca Sofri, 45, 41, 43, 64, 63, 53, 45, 21, 14, 17, 28, 36
Beppe Severgnini, 29, 31, 31, 31, 28, 18, 20, 18, 27, 27, 17, 9
Sonia Peronaci, 39, 28, 19, 14, 12, 12, 10, 9, 9, 12, 18, 18
Arianna Ciccone, 24, 28, 25, 20, 9, 7, 6, 11, 12, 10, 6, 4
Anna Masera, 3, 3, 3, 3, 3, 3, 3, 3, 17, 21, 29, 32
Romana Petri, 3, 3, 3, 3, 13, 15, 15, 15, 8, 8, 8, 8
Samuele Bersani, 7, 7, 7, 7, 4, 9, 9, 9, 8, 8, 8, 8
Marino Sinibaldi, 6, 6, 6, 6, 6, 2, 6, 6, 9, 9, 9, 6
Silvia Ballestra, 9, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
