participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415327306133
Luca Sofri, 32, 43, 52, 38, 35, 24, 13, 12, 12, 6, 6, 5
Dario Franceschini, 40, 25, 18, 15, 13, 9, 6, 6, 6, 6, 6, 6
Massimo Mantellini, 18, 18, 11, 9, 9, 9, 9, 9, 9, 9, 9, 1
Beppe Severgnini, 21, 16, 6, 5, 1, 1, 4, 7, 9, 9, 7, 3
Enrico Mentana, 11, 9, 9, 6, 4, 4, 4, 4, 4, 6, 6, 6
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Marino Sinibaldi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Pietrangelo Buttafuoco, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Romana Petri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
