participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415522606152
Beppe Severgnini, 2, 2, 9, 29, 30, 39, 46, 27, 26, 31, 18, 17
Mauro Tedeschini, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Dario Franceschini, 3, 3, 3, 3, 3, 3, 3, 4, 13, 22, 30, 40
Luca Sofri, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 20, 27
Walter Passerini, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8
Massimiliano Panarari, 9, 9, 9, 9, 9, 9, 1, 3, 3, 4, 14, 15
Anna Masera, 6, 6, 6, 6, 6, 1, 4, 6, 8, 10, 15, 18
Arianna Ciccone, 6, 6, 7, 9, 9, 9, 5, 5, 5, 5, 5, 5
Alberto Tessore, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Alessandro Perissinotto, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
