participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415222906171
Dario Franceschini, 42, 45, 63, 83, 64, 53, 38, 9, 28, 53, 57, 58
Silvia Ballestra, 18, 42, 57, 57, 47, 21, 21, 21, 21, 21, 21, 21
Beppe Severgnini, 8, 22, 27, 32, 32, 26, 20, 25, 22, 21, 14, 9
Luca Sofri, 6, 13, 16, 12, 24, 33, 31, 32, 30, 17, 11, 8
Massimo Mantellini, 7, 21, 33, 36, 37, 24, 9, 6, 7, 12, 17, 20
Pietrangelo Buttafuoco, 2, 2, 2, 2, 2, 2, 8, 17, 18, 18, 14, 7
Anna Masera, 9, 9, 10, 6, 5, 5, 5, 5, 5, 5, 5, 5
Andrea Iannuzzi, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6
Samuele Bersani, 3, 3, 3, 3, 3, 4, 10, 12, 9, 9, 7, 6
Sonia Peronaci, 3, 3, 3, 10, 10, 9, 9, 4, 4, 4, 4, 4
