participant,foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, foo, 1415438906156
Massimo Mantellini, 1, 1, 1, 1, 1, 1, 1, 26, 39, 83, 153, 176
Beppe Severgnini, 53, 54, 46, 38, 22, 24, 33, 38, 37, 39, 28, 29
Luca Sofri, 6, 3, 5, 13, 13, 13, 24, 19, 30, 62, 76, 94
Massimiliano Panarari, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Arianna Ciccone, 6, 3, 8, 15, 17, 21, 22, 15, 23, 24, 22, 21
Enrico Mentana, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12
Andrea Iannuzzi, 6, 3, 5, 12, 11, 12, 10, 6, 11, 15, 15, 15
Aldo Cazzullo, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Marino Sinibaldi, 2, 2, 2, 2, 2, 1, 9, 12, 18, 20, 20, 18
Sonia Peronaci, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
